gender,subCategory,articleType,baseColour,season,usage
boys,topwear,tshirts,yellow,summer,casual
women,bottomwear,leggings,green,fall,ethnic
women,topwear,tshirts,green,fall,casual
women,bottomwear,capris,black,fall,casual
men,bottomwear,trousers,grey,winter,formal
men,topwear,sweatshirts,maroon,fall,casual
women,loungewear and nightwear,lounge shorts,purple,winter,casual
women,loungewear and nightwear,bath robe,blue,winter,casual
women,topwear,tunics,green,summer,casual
women,topwear,tunics,red,fall,ethnic
girls,dress,dresses,white,summer,casual
women,innerwear,bra,grey,winter,casual
men,innerwear,briefs,green,summer,casual
women,loungewear and nightwear,night suits,purple,summer,casual
women,apparel set,kurta sets,magenta,summer,ethnic
women,topwear,tshirts,off white,summer,casual
boys,topwear,tshirts,navy blue,summer,casual
women,topwear,tops,blue,summer,formal
men,topwear,shirts,rust,summer,ethnic
women,saree,sarees,pink,fall,ethnic
women,topwear,tshirts,blue,fall,sports
men,topwear,waistcoat,black,fall,casual
women,innerwear,bra,cream,winter,casual
women,loungewear and nightwear,bath robe,white,summer,casual
men,topwear,shirts,brown,fall,casual
women,loungewear and nightwear,night suits,black,summer,casual
women,topwear,sweatshirts,green,fall,casual
men,bottomwear,track pants,grey melange,fall,sports
women,loungewear and nightwear,lounge pants,grey,winter,casual
women,topwear,tshirts,lavender,summer,casual
women,bottomwear,shorts,green,summer,casual
men,innerwear,trunk,grey,summer,casual
women,bottomwear,track pants,black,fall,casual
men,bottomwear,track pants,black,fall,sports
boys,topwear,shirts,navy blue,summer,casual
women,bottomwear,shorts,black,fall,sports
women,innerwear,camisoles,pink,winter,casual
girls,topwear,tshirts,pink,summer,casual
women,bottomwear,trousers,olive,summer,casual
women,topwear,dupatta,navy blue,fall,ethnic
women,bottomwear,jeans,brown,fall,casual
women,bottomwear,capris,pink,summer,casual
women,loungewear and nightwear,nightdress,cream,winter,casual
women,innerwear,briefs,peach,summer,casual
men,topwear,jackets,blue,fall,sports
boys,topwear,tshirts,brown,fall,casual
girls,topwear,tops,magenta,summer,casual
men,topwear,shirts,lavender,spring,formal
women,topwear,shirts,lavender,summer,formal
men,innerwear,briefs,grey,winter,casual
women,topwear,tshirts,maroon,fall,casual
men,innerwear,briefs,olive,summer,casual
men,bottomwear,trousers,black,fall,smart casual
men,topwear,shirts,yellow,summer,formal
women,topwear,kurtis,black,fall,ethnic
men,bottomwear,track pants,grey,summer,casual
men,topwear,tshirts,beige,fall,casual
women,bottomwear,salwar and dupatta,black,summer,ethnic
women,dress,dresses,navy blue,summer,casual
men,bottomwear,trousers,brown,summer,casual
men,topwear,kurtas,beige,summer,ethnic
women,bottomwear,leggings,cream,summer,casual
women,topwear,shirts,white,fall,casual
men,innerwear,innerwear vests,charcoal,summer,casual
men,bottomwear,trousers,charcoal,summer,formal
unisex,bottomwear,jeans,blue,summer,casual
men,innerwear,trunk,blue,summer,casual
men,bottomwear,jeans,black,winter,casual
girls,bottomwear,leggings,green,summer,casual
men,topwear,suspenders,blue,summer,formal
women,loungewear and nightwear,nightdress,off white,winter,casual
women,bottomwear,stockings,beige,fall,casual
men,topwear,shirts,green,fall,formal
women,dress,dresses,grey,summer,casual
women,innerwear,briefs,purple,summer,casual
women,bottomwear,salwar and dupatta,red,summer,ethnic
men,topwear,tshirts,navy blue,summer,sports
men,topwear,jackets,white,summer,casual
women,topwear,tunics,grey,summer,casual
boys,bottomwear,shorts,black,summer,sports
unisex,topwear,tshirts,orange,summer,casual
men,bottomwear,shorts,navy blue,summer,casual
women,innerwear,briefs,blue,winter,casual
men,bottomwear,tracksuits,black,summer,sports
men,topwear,shirts,lavender,summer,formal
women,saree,sarees,red,summer,ethnic
men,topwear,shirts,peach,fall,formal
men,bottomwear,jeans,black,fall,casual
women,topwear,sweaters,blue,fall,casual
girls,topwear,tops,peach,summer,casual
women,topwear,tshirts,sea green,summer,casual
women,innerwear,briefs,navy blue,summer,casual
women,bottomwear,capris,charcoal,summer,casual
men,topwear,sweaters,black,fall,casual
women,innerwear,briefs,maroon,winter,casual
men,topwear,sweaters,blue,fall,casual
women,bottomwear,jeans,blue,winter,casual
boys,bottomwear,shorts,navy blue,summer,casual
men,bottomwear,shorts,red,summer,casual
women,bottomwear,swimwear,black,summer,sports
women,bottomwear,leggings,grey,summer,casual
women,topwear,dupatta,mauve,summer,ethnic
unisex,topwear,tshirts,green,fall,casual
unisex,topwear,tshirts,black,summer,casual
women,topwear,kurtas,rust,fall,ethnic
women,topwear,dupatta,white,summer,ethnic
women,bottomwear,trousers,beige,fall,casual
unisex,topwear,tshirts,purple,summer,sports
women,innerwear,bra,teal,summer,casual
girls,topwear,tshirts,blue,summer,casual
women,innerwear,briefs,black,winter,casual
men,topwear,sweaters,charcoal,fall,casual
women,topwear,tshirts,green,summer,sports
women,topwear,tshirts,purple,fall,sports
women,apparel set,kurta sets,beige,fall,ethnic
men,innerwear,trunk,grey,winter,casual
boys,topwear,tshirts,pink,summer,casual
women,saree,sarees,green,summer,ethnic
women,loungewear and nightwear,night suits,purple,winter,casual
men,bottomwear,shorts,blue,fall,sports
men,topwear,kurtas,olive,summer,ethnic
women,dress,dresses,cream,fall,casual
unisex,topwear,tshirts,white,fall,casual
women,topwear,tshirts,coffee brown,winter,casual
women,topwear,kurtis,cream,summer,ethnic
women,bottomwear,shorts,pink,summer,casual
women,dress,dresses,beige,fall,casual
women,topwear,kurtis,green,summer,ethnic
men,bottomwear,trousers,cream,winter,formal
women,topwear,kurtas,mustard,summer,ethnic
women,topwear,tshirts,burgundy,summer,casual
women,innerwear,briefs,yellow,summer,casual
women,dress,jumpsuit,magenta,winter,casual
women,topwear,tops,red,fall,ethnic
women,innerwear,camisoles,black,summer,casual
men,bottomwear,track pants,blue,summer,casual
women,bottomwear,leggings,beige,fall,casual
women,loungewear and nightwear,nightdress,white,winter,casual
women,innerwear,briefs,lavender,winter,casual
men,innerwear,briefs,white,winter,casual
girls,topwear,tops,yellow,summer,casual
men,innerwear,briefs,red,winter,casual
women,topwear,tshirts,blue,winter,casual
girls,bottomwear,skirts,white,summer,casual
women,bottomwear,skirts,red,summer,casual
women,topwear,shirts,black,fall,formal
women,topwear,dupatta,green,summer,ethnic
women,bottomwear,track pants,grey,summer,sports
women,topwear,tshirts,brown,summer,sports
women,loungewear and nightwear,nightdress,maroon,winter,casual
men,bottomwear,shorts,brown,summer,casual
women,bottomwear,jeans,black,winter,casual
boys,bottomwear,shorts,black,summer,casual
women,bottomwear,track pants,black,summer,sports
men,topwear,jackets,black,fall,casual
women,innerwear,briefs,black,summer,casual
boys,topwear,tshirts,purple,fall,casual
men,bottomwear,trousers,green,fall,casual
women,bottomwear,jeans,navy blue,fall,casual
women,bottomwear,track pants,blue,summer,casual
women,bottomwear,leggings,white,fall,casual
women,saree,sarees,beige,summer,ethnic
women,bottomwear,capris,navy blue,summer,casual
men,bottomwear,tracksuits,navy blue,summer,sports
men,bottomwear,track pants,white,summer,casual
women,innerwear,bra,grey,summer,casual
men,topwear,tshirts,mushroom brown,summer,casual
women,saree,sarees,white,summer,ethnic
men,topwear,shirts,turquoise blue,summer,casual
women,innerwear,briefs,white,fall,casual
women,loungewear and nightwear,nightdress,pink,summer,casual
women,innerwear,briefs,blue,summer,casual
women,apparel set,kurta sets,off white,fall,ethnic
women,dress,dresses,olive,summer,casual
women,dress,dresses,brown,fall,casual
boys,topwear,tshirts,off white,summer,casual
women,topwear,tops,brown,fall,casual
women,topwear,kurtis,purple,summer,ethnic
women,loungewear and nightwear,nightdress,black,summer,casual
men,topwear,jackets,blue,fall,casual
women,bottomwear,track pants,navy blue,fall,sports
girls,topwear,tshirts,purple,fall,casual
women,topwear,kurtis,red,summer,ethnic
women,bottomwear,track pants,navy blue,summer,sports
women,topwear,tunics,beige,summer,casual
girls,bottomwear,shorts,black,summer,casual
men,bottomwear,shorts,black,fall,sports
women,dress,jumpsuit,brown,summer,casual
women,dress,dresses,black,fall,party
men,topwear,shirts,maroon,summer,casual
women,bottomwear,track pants,navy blue,summer,casual
women,innerwear,shapewear,skin,summer,casual
girls,innerwear,innerwear vests,pink,summer,casual
women,topwear,tshirts,purple,fall,casual
women,topwear,kurtis,green,fall,ethnic
men,topwear,nehru jackets,brown,summer,ethnic
women,topwear,tshirts,blue,summer,sports
men,topwear,shirts,black,summer,formal
men,bottomwear,shorts,grey,summer,sports
girls,dress,dresses,white,fall,casual
women,bottomwear,salwar,green,summer,ethnic
women,topwear,kurtas,purple,fall,casual
women,innerwear,bra,black,winter,sports
women,bottomwear,capris,black,fall,sports
women,topwear,tshirts,peach,fall,casual
women,bottomwear,capris,grey,summer,sports
men,topwear,shirts,off white,winter,formal
women,bottomwear,skirts,green,summer,casual
men,topwear,tshirts,red,spring,casual
men,loungewear and nightwear,lounge pants,navy blue,winter,casual
men,topwear,sweaters,green,winter,casual
women,innerwear,bra,white,winter,sports
women,topwear,kurtas,olive,fall,ethnic
men,innerwear,trunk,white,summer,casual
women,innerwear,bra,black,fall,casual
men,topwear,jackets,red,summer,sports
women,bottomwear,jeggings,blue,summer,casual
women,bottomwear,track pants,grey,fall,sports
men,loungewear and nightwear,lounge pants,navy blue,fall,sports
women,topwear,tops,black,fall,sports
men,topwear,kurtas,rust,summer,ethnic
women,bottomwear,skirts,cream,fall,casual
women,apparel set,kurta sets,teal,fall,ethnic
men,loungewear and nightwear,lounge shorts,black,winter,sports
men,topwear,shirts,navy blue,winter,casual
men,topwear,shirts,brown,fall,formal
men,topwear,shirts,green,summer,formal
women,innerwear,bra,grey melange,winter,sports
women,topwear,tshirts,magenta,summer,sports
women,topwear,jackets,blue,fall,casual
women,topwear,tshirts,red,fall,sports
girls,topwear,tops,green,summer,casual
unisex,topwear,tshirts,blue,summer,sports
women,bottomwear,salwar,maroon,summer,ethnic
women,innerwear,bra,turquoise blue,winter,casual
men,topwear,tshirts,teal,summer,casual
men,innerwear,boxers,blue,summer,casual
girls,topwear,rompers,white,summer,casual
women,topwear,kurtis,turquoise blue,fall,ethnic
men,bottomwear,shorts,navy blue,fall,sports
men,topwear,kurtas,maroon,summer,ethnic
men,innerwear,trunk,blue,winter,casual
women,bottomwear,skirts,black,winter,casual
women,topwear,dupatta,cream,summer,ethnic
women,topwear,sweatshirts,red,summer,casual
men,topwear,sweaters,grey,winter,casual
men,topwear,tshirts,brown,spring,casual
women,topwear,sweaters,pink,fall,casual
women,bottomwear,shorts,green,fall,casual
women,topwear,jackets,blue,fall,sports
women,bottomwear,skirts,black,summer,ethnic
men,innerwear,innerwear vests,maroon,winter,casual
women,innerwear,bra,red,summer,casual
women,topwear,tops,grey melange,summer,casual
women,innerwear,camisoles,white,summer,casual
women,bottomwear,jeggings,blue,fall,casual
women,topwear,tops,sea green,summer,casual
women,bottomwear,patiala,mustard,fall,ethnic
men,topwear,sweaters,black,fall,sports
boys,topwear,tshirts,grey,summer,casual
women,innerwear,bra,mushroom brown,summer,casual
women,dress,dresses,black,fall,smart casual
men,topwear,kurtas,white,summer,ethnic
men,topwear,tshirts,white,spring,casual
men,loungewear and nightwear,lounge pants,grey melange,summer,sports
women,topwear,shirts,maroon,fall,casual
men,bottomwear,shorts,charcoal,summer,casual
women,topwear,tshirts,blue,spring,casual
women,bottomwear,leggings,black,summer,casual
women,topwear,sweaters,grey,winter,casual
men,topwear,tshirts,black,spring,casual
women,bottomwear,patiala,blue,fall,ethnic
women,bottomwear,capris,blue,winter,sports
women,apparel set,kurta sets,blue,fall,ethnic
women,loungewear and nightwear,night suits,yellow,summer,casual
men,bottomwear,shorts,green,summer,casual
women,innerwear,bra,orange,summer,casual
women,bottomwear,skirts,rust,summer,ethnic
men,innerwear,trunk,green,summer,casual
women,topwear,sweatshirts,black,fall,sports
women,bottomwear,trousers,green,fall,casual
women,topwear,jackets,red,summer,casual
men,loungewear and nightwear,lounge shorts,navy blue,winter,casual
men,topwear,shirts,olive,summer,casual
boys,topwear,shirts,white,summer,casual
men,bottomwear,shorts,navy blue,winter,sports
girls,dress,dresses,yellow,summer,casual
men,topwear,shirts,pink,summer,formal
women,bottomwear,patiala,red,fall,ethnic
women,dress,dresses,maroon,summer,casual
women,bottomwear,churidar,purple,summer,ethnic
men,topwear,shirts,white,winter,formal
women,bottomwear,skirts,grey,fall,casual
men,topwear,kurtas,green,summer,ethnic
women,saree,sarees,olive,fall,ethnic
women,topwear,kurtas,turquoise blue,fall,ethnic
women,innerwear,bra,red,winter,casual
men,topwear,kurtas,cream,summer,ethnic
men,topwear,tshirts,navy blue,spring,casual
men,loungewear and nightwear,lounge pants,black,summer,sports
men,bottomwear,trousers,brown,summer,formal
men,topwear,shirts,khaki,fall,casual
women,topwear,sweaters,black,fall,casual
women,bottomwear,shorts,beige,fall,casual
women,topwear,tops,purple,summer,ethnic
men,innerwear,innerwear vests,khaki,summer,casual
men,bottomwear,shorts,navy blue,fall,casual
women,bottomwear,leggings,blue,summer,sports
women,bottomwear,skirts,yellow,summer,casual
men,innerwear,boxers,white,summer,casual
women,topwear,tunics,maroon,fall,ethnic
boys,topwear,kurtas,blue,summer,ethnic
women,bottomwear,leggings,green,summer,casual
women,bottomwear,patiala,pink,summer,ethnic
women,innerwear,bra,white,fall,casual
women,topwear,kurtis,pink,summer,ethnic
women,topwear,tops,yellow,fall,casual
women,bottomwear,skirts,black,summer,sports
women,bottomwear,capris,beige,fall,casual
men,topwear,shirts,white,winter,casual
women,topwear,shirts,blue,fall,casual
women,loungewear and nightwear,nightdress,yellow,winter,casual
men,bottomwear,shorts,beige,fall,casual
women,topwear,sweatshirts,olive,fall,casual
women,topwear,dupatta,cream,fall,ethnic
women,topwear,shirts,blue,winter,casual
women,bottomwear,patiala,multi,fall,ethnic
men,topwear,shirts,navy blue,fall,smart casual
women,loungewear and nightwear,baby dolls,red,winter,casual
girls,bottomwear,shorts,purple,summer,casual
men,topwear,sweatshirts,olive,fall,casual
boys,topwear,sweatshirts,green,fall,casual
women,dress,dresses,purple,fall,casual
boys,socks,booties,white,summer,casual
men,topwear,jackets,red,fall,casual
women,bottomwear,shorts,white,summer,casual
women,apparel set,kurta sets,blue,summer,ethnic
women,topwear,tops,cream,fall,casual
men,loungewear and nightwear,lounge shorts,black,summer,casual
women,bottomwear,jeans,lavender,summer,casual
women,topwear,dupatta,beige,summer,ethnic
men,innerwear,innerwear vests,olive,summer,casual
women,bottomwear,skirts,red,fall,casual
women,loungewear and nightwear,nightdress,blue,summer,casual
men,bottomwear,jeans,blue,winter,casual
men,innerwear,boxers,red,summer,casual
women,dress,dresses,black,spring,party
men,innerwear,innerwear vests,charcoal,winter,casual
women,bottomwear,leggings,white,summer,casual
men,bottomwear,tracksuits,blue,fall,sports
women,topwear,tshirts,black,summer,sports
men,topwear,shirts,red,summer,formal
women,topwear,kurtis,maroon,fall,ethnic
boys,topwear,kurtas,white,summer,ethnic
men,bottomwear,shorts,khaki,summer,casual
unisex,topwear,tshirts,black,summer,sports
men,topwear,tshirts,grey melange,fall,casual
men,bottomwear,trousers,olive,summer,formal
men,topwear,jackets,black,fall,sports
women,topwear,tshirts,cream,fall,casual
women,bottomwear,capris,pink,summer,sports
women,topwear,dupatta,off white,summer,ethnic
men,innerwear,innerwear vests,grey melange,fall,casual
women,topwear,tops,peach,fall,casual
women,dress,jumpsuit,orange,summer,casual
men,bottomwear,trousers,khaki,spring,formal
women,dress,dresses,blue,fall,casual
women,topwear,kurtas,lavender,summer,casual
women,topwear,sweaters,grey,fall,casual
women,topwear,sweaters,navy blue,fall,casual
girls,topwear,tops,green,fall,casual
men,bottomwear,track pants,black,spring,casual
men,topwear,jackets,grey,fall,sports
women,innerwear,bra,skin,spring,casual
unisex,topwear,jackets,white,summer,casual
women,loungewear and nightwear,nightdress,lavender,winter,casual
men,bottomwear,tracksuits,navy blue,fall,sports
women,topwear,dupatta,red,summer,ethnic
men,topwear,shirts,black,spring,casual
women,saree,sarees,coffee brown,fall,ethnic
men,topwear,shirts,lavender,fall,formal
men,topwear,tshirts,teal,fall,casual
men,topwear,shirts,blue,spring,formal
women,bottomwear,leggings,navy blue,summer,ethnic
women,innerwear,bra,pink,fall,casual
women,apparel set,kurta sets,yellow,summer,ethnic
girls,topwear,tops,off white,summer,casual
boys,topwear,shirts,green,summer,casual
women,apparel set,kurta sets,white,summer,ethnic
men,topwear,sweatshirts,beige,fall,casual
men,bottomwear,shorts,white,fall,sports
women,topwear,kurtis,beige,summer,ethnic
girls,topwear,tops,black,fall,casual
women,topwear,tunics,cream,summer,casual
boys,socks,booties,yellow,summer,casual
women,bottomwear,trousers,grey,summer,formal
women,innerwear,bra,cream,summer,casual
women,loungewear and nightwear,night suits,lavender,summer,casual
women,loungewear and nightwear,robe,blue,winter,casual
women,bottomwear,leggings,pink,summer,casual
women,topwear,kurtis,red,fall,ethnic
men,bottomwear,trousers,olive,summer,casual
women,saree,sarees,black,summer,ethnic
women,topwear,shirts,grey,summer,casual
women,loungewear and nightwear,nightdress,cream,summer,casual
women,topwear,tops,green,summer,ethnic
women,bottomwear,skirts,brown,fall,casual
women,bottomwear,skirts,navy blue,summer,casual
women,bottomwear,leggings,brown,fall,ethnic
boys,apparel set,kurta sets,blue,summer,ethnic
women,topwear,tshirts,grey,winter,casual
women,loungewear and nightwear,nightdress,grey,winter,casual
women,innerwear,bra,blue,spring,casual
men,topwear,shirts,burgundy,summer,casual
men,topwear,jackets,black,summer,sports
women,topwear,sweaters,magenta,fall,casual
women,topwear,tops,beige,fall,ethnic
men,bottomwear,shorts,white,summer,sports
women,topwear,tops,tan,summer,ethnic
women,topwear,dupatta,lavender,summer,ethnic
men,bottomwear,track pants,blue,summer,sports
men,bottomwear,trousers,black,spring,formal
men,topwear,shirts,purple,spring,casual
women,topwear,tops,olive,fall,casual
women,bottomwear,swimwear,black,fall,sports
boys,topwear,tshirts,orange,summer,casual
women,saree,sarees,cream,summer,ethnic
women,topwear,dresses,cream,summer,casual
women,bottomwear,trousers,beige,summer,formal
women,topwear,tops,rust,summer,casual
women,topwear,sweatshirts,grey,fall,sports
women,bottomwear,trousers,olive,winter,casual
women,topwear,dupatta,black,summer,ethnic
men,bottomwear,trousers,cream,fall,formal
women,bottomwear,capris,yellow,fall,casual
men,loungewear and nightwear,lounge shorts,charcoal,winter,casual
women,topwear,sweatshirts,grey,summer,casual
men,topwear,sweaters,green,summer,casual
women,bottomwear,skirts,mustard,summer,ethnic
men,bottomwear,shorts,black,winter,sports
men,topwear,tshirts,black,winter,casual
women,topwear,tops,black,spring,ethnic
men,topwear,tshirts,yellow,spring,casual
women,topwear,kurtas,off white,fall,ethnic
men,loungewear and nightwear,lounge pants,grey,summer,casual
men,topwear,shirts,maroon,winter,casual
men,bottomwear,trousers,green,summer,formal
women,bottomwear,patiala,navy blue,fall,ethnic
men,topwear,jackets,navy blue,winter,casual
women,bottomwear,skirts,pink,fall,casual
men,topwear,kurtis,maroon,summer,ethnic
women,bottomwear,churidar,magenta,summer,ethnic
women,topwear,kurtas,sea green,fall,ethnic
women,bottomwear,skirts,beige,summer,ethnic
boys,topwear,tshirts,grey,fall,casual
women,dress,dresses,black,winter,party
men,topwear,shirts,lavender,summer,smart casual
men,topwear,sweaters,black,winter,casual
women,topwear,dupatta,olive,summer,ethnic
women,topwear,tops,beige,winter,casual
women,innerwear,bra,grey,winter,sports
women,saree,sarees,brown,fall,ethnic
women,topwear,sweaters,purple,fall,casual
men,topwear,shirts,orange,summer,casual
men,topwear,jackets,khaki,fall,casual
men,topwear,jackets,blue,summer,casual
women,bottomwear,shorts,white,winter,casual
men,topwear,shirts,yellow,fall,formal
women,dress,dresses,navy blue,fall,casual
men,topwear,shirts,purple,winter,casual
men,innerwear,trunk,green,winter,casual
women,innerwear,bra,skin,winter,casual
women,topwear,tunics,navy blue,summer,casual
women,innerwear,camisoles,blue,winter,casual
men,bottomwear,shorts,pink,summer,casual
women,topwear,tops,white,summer,ethnic
women,innerwear,briefs,orange,summer,casual
men,topwear,sweatshirts,white,fall,casual
women,innerwear,bra,black,summer,sports
men,loungewear and nightwear,lounge pants,multi,summer,casual
men,topwear,tshirts,green,spring,casual
women,loungewear and nightwear,lounge pants,black,summer,sports
men,topwear,tshirts,turquoise blue,summer,casual
women,innerwear,bra,red,fall,casual
women,topwear,dupatta,grey,summer,ethnic
men,innerwear,boxers,green,summer,casual
women,bottomwear,salwar,orange,summer,ethnic
women,innerwear,briefs,rose,winter,casual
boys,topwear,tshirts,green,summer,sports
men,innerwear,trunk,grey melange,winter,casual
women,bottomwear,swimwear,brown,summer,casual
women,topwear,kurtis,olive,fall,ethnic
girls,topwear,rompers,green,summer,casual
women,bottomwear,skirts,pink,summer,sports
men,loungewear and nightwear,lounge shorts,navy blue,winter,sports
girls,bottomwear,capris,navy blue,summer,casual
women,topwear,shirts,orange,summer,casual
men,bottomwear,track pants,cream,summer,casual
women,topwear,tshirts,brown,fall,casual
girls,bottomwear,capris,white,summer,casual
men,innerwear,briefs,white,fall,casual
men,topwear,shirts,orange,fall,formal
women,topwear,tops,orange,fall,casual
men,bottomwear,tracksuits,black,fall,casual
men,bottomwear,shorts,multi,summer,casual
women,topwear,tunics,white,fall,casual
women,innerwear,bra,skin,winter,sports
men,bottomwear,shorts,grey melange,summer,sports
women,topwear,tshirts,magenta,summer,casual
men,loungewear and nightwear,lounge shorts,black,winter,casual
men,topwear,sweaters,navy blue,winter,casual
girls,innerwear,innerwear vests,green,summer,casual
women,topwear,tops,green,summer,sports
women,dress,dresses,mauve,summer,casual
women,topwear,kurtas,teal,summer,ethnic
women,bottomwear,salwar,multi,fall,ethnic
men,topwear,shirts,black,winter,formal
women,topwear,tshirts,orange,summer,sports
women,innerwear,briefs,orange,winter,casual
boys,topwear,tshirts,navy blue,fall,casual
women,bottomwear,skirts,blue,fall,casual
men,innerwear,boxers,black,summer,casual
women,dress,dresses,green,summer,casual
women,topwear,sweaters,white,fall,casual
women,bottomwear,jeans,grey,summer,casual
men,bottomwear,trousers,navy blue,spring,formal
women,dress,dresses,black,summer,party
women,bottomwear,leggings,white,summer,ethnic
unisex,bottomwear,swimwear,black,summer,sports
men,topwear,shirts,red,spring,casual
men,innerwear,innerwear vests,white,winter,casual
men,topwear,sweatshirts,brown,fall,casual
women,topwear,tunics,purple,summer,casual
women,topwear,kurtas,olive,summer,ethnic
boys,bottomwear,churidar,white,summer,ethnic
women,bottomwear,leggings,maroon,fall,ethnic
women,topwear,tshirts,black,winter,casual
men,topwear,sweatshirts,blue,fall,sports
women,topwear,jackets,purple,summer,sports
women,topwear,tops,black,fall,ethnic
women,topwear,tunics,red,fall,casual
men,topwear,shirts,multi,summer,casual
boys,topwear,shirts,black,summer,casual
women,apparel set,kurta sets,cream,summer,ethnic
men,loungewear and nightwear,lounge pants,green,summer,casual
women,topwear,tunics,rust,summer,ethnic
men,topwear,jackets,white,fall,sports
men,topwear,jackets,navy blue,summer,casual
men,bottomwear,trousers,khaki,spring,smart casual
women,topwear,kurtis,sea green,fall,ethnic
men,bottomwear,trousers,navy blue,summer,formal
women,apparel set,kurta sets,orange,summer,ethnic
women,topwear,kurtas,teal,fall,ethnic
men,bottomwear,shorts,red,fall,casual
women,topwear,sweatshirts,blue,fall,casual
men,topwear,shirts,brown,spring,casual
women,bottomwear,capris,black,fall,ethnic
women,topwear,dupatta,pink,summer,ethnic
women,bottomwear,capris,brown,fall,sports
women,topwear,waistcoat,pink,summer,casual
women,bottomwear,shorts,black,summer,casual
women,bottomwear,capris,green,summer,casual
women,bottomwear,salwar,white,summer,ethnic
men,topwear,jackets,olive,summer,casual
women,bottomwear,skirts,teal,summer,casual
men,topwear,jackets,black,summer,casual
women,bottomwear,skirts,tan,fall,casual
women,topwear,tops,blue,summer,ethnic
men,topwear,tshirts,burgundy,fall,casual
women,bottomwear,leggings,red,summer,casual
women,loungewear and nightwear,robe,black,winter,casual
women,topwear,sweaters,red,winter,casual
men,loungewear and nightwear,lounge shorts,navy blue,summer,casual
girls,topwear,lehenga choli,pink,summer,ethnic
women,topwear,tshirts,white,summer,sports
women,topwear,tunics,maroon,fall,casual
women,bottomwear,leggings,navy blue,summer,casual
women,loungewear and nightwear,lounge pants,black,summer,casual
women,topwear,kurtis,magenta,summer,ethnic
women,topwear,dupatta,blue,fall,ethnic
women,loungewear and nightwear,night suits,grey,summer,casual
women,bottomwear,leggings,orange,summer,ethnic
women,loungewear and nightwear,baby dolls,black,winter,casual
women,topwear,shirts,gold,summer,casual
women,bottomwear,trousers,black,fall,formal
men,innerwear,innerwear vests,black,winter,casual
women,topwear,tops,multi,fall,casual
women,topwear,kurtis,navy blue,fall,ethnic
men,topwear,tunics,green,fall,casual
women,topwear,sweaters,brown,fall,casual
women,dress,dresses,olive,fall,casual
women,bottomwear,leggings,black,spring,casual
women,saree,sarees,cream,fall,ethnic
men,innerwear,innerwear vests,white,fall,casual
women,bottomwear,leggings,grey,fall,casual
girls,bottomwear,shorts,magenta,summer,casual
women,loungewear and nightwear,baby dolls,purple,winter,casual
men,innerwear,boxers,navy blue,summer,casual
girls,dress,dresses,grey,summer,casual
women,topwear,tops,red,summer,ethnic
women,bottomwear,leggings,rust,summer,casual
women,bottomwear,patiala,green,summer,ethnic
boys,topwear,kurtas,maroon,summer,ethnic
women,topwear,tunics,brown,fall,casual
boys,apparel set,clothing set,blue,summer,casual
boys,socks,booties,blue,summer,casual
women,saree,sarees,burgundy,summer,ethnic
men,topwear,shirts,maroon,summer,formal
men,bottomwear,shorts,white,summer,casual
women,bottomwear,jeggings,pink,summer,casual
women,bottomwear,leggings,pink,fall,casual
boys,topwear,tshirts,cream,summer,casual
men,topwear,tshirts,blue,winter,casual
women,topwear,tops,charcoal,summer,ethnic
women,saree,sarees,blue,summer,ethnic
women,topwear,tshirts,purple,summer,sports
women,topwear,shirts,beige,summer,casual
boys,topwear,waistcoat,white,summer,casual
women,topwear,shirts,yellow,summer,casual
women,topwear,shirts,black,winter,casual
men,topwear,tshirts,multi,summer,casual
women,topwear,kurtis,teal,summer,ethnic
boys,apparel set,clothing set,red,summer,casual
boys,topwear,rompers,white,summer,casual
women,saree,sarees,purple,summer,ethnic
women,bottomwear,track pants,red,fall,casual
women,bottomwear,stockings,grey,summer,casual
women,topwear,tops,pink,winter,casual
women,bottomwear,capris,grey,fall,casual
men,topwear,nehru jackets,navy blue,summer,ethnic
women,bottomwear,stockings,black,summer,casual
women,saree,sarees,rust,summer,ethnic
men,bottomwear,trousers,khaki,summer,casual
women,topwear,tops,peach,summer,ethnic
men,topwear,jackets,black,winter,casual
women,bottomwear,patiala,white,fall,ethnic
women,bottomwear,trousers,black,summer,formal
women,topwear,shirts,pink,winter,casual
men,innerwear,trunk,black,winter,casual
women,saree,sarees,pink,summer,ethnic
girls,bottomwear,leggings,pink,summer,casual
unisex,apparel set,swimwear,blue,winter,sports
women,bottomwear,leggings,magenta,summer,casual
women,topwear,tunics,green,summer,ethnic
women,innerwear,shapewear,black,winter,casual
women,saree,sarees,navy blue,summer,ethnic
men,bottomwear,shorts,red,fall,sports
men,topwear,shirts,white,spring,casual
women,bottomwear,jeggings,red,summer,casual
men,topwear,sweatshirts,red,fall,sports
women,topwear,shirts,blue,winter,formal
women,bottomwear,leggings,green,fall,casual
girls,topwear,tshirts,green,summer,casual
women,topwear,tops,off white,fall,casual
women,bottomwear,shorts,off white,summer,casual
women,topwear,shirts,pink,fall,casual
men,bottomwear,shorts,orange,summer,casual
girls,topwear,tshirts,white,fall,casual
men,bottomwear,shorts,olive,fall,casual
girls,bottomwear,salwar,magenta,summer,ethnic
boys,bottomwear,leggings,yellow,summer,casual
women,bottomwear,skirts,black,fall,casual
boys,topwear,tshirts,blue,winter,casual
men,loungewear and nightwear,lounge shorts,grey,summer,casual
women,dress,dresses,peach,summer,casual
